queue_type,priority,status,course,lesson_title,source_url,candidate_youtube_url,candidate_video_id,candidate_title,confidence,notes,transcription_media_id,transcription_status,transcription_segments,transcription_updated_at
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1AQ_ApYlnaXvsj3YnOP2q1O_aRbjD7Q55/view,,1AQ_ApYlnaXvsj3YnOP2q1O_aRbjD7Q55,Biblioteca de Anúncios (1).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1AQ_ApYlnaXvsj3YnOP2q1O_aRbjD7Q55,transcribed,32,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1ZHrkoJDDdWQ7L4QnG-vFbbAvncabpBN2/view,,1ZHrkoJDDdWQ7L4QnG-vFbbAvncabpBN2,Biblioteca de Anúncios-1.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1ZHrkoJDDdWQ7L4QnG-vFbbAvncabpBN2,transcribed,21,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1ASOnmP7Z88JSptz9GQGg_xffjbiKsgzh/view,,1ASOnmP7Z88JSptz9GQGg_xffjbiKsgzh,Biblioteca de Anúncios-2.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1ASOnmP7Z88JSptz9GQGg_xffjbiKsgzh,transcribed,24,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1Ag_ezQq262IBmZTpAhmpkFOdh5bUf80e/view,,1Ag_ezQq262IBmZTpAhmpkFOdh5bUf80e,Biblioteca de Anúncios-3 (4).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1Ag_ezQq262IBmZTpAhmpkFOdh5bUf80e,transcribed,22,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1gsND8pHhURXwkKATdavjVPHPWb0psA4y/view,,1gsND8pHhURXwkKATdavjVPHPWb0psA4y,Biblioteca de Anúncios-3 (5).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1gsND8pHhURXwkKATdavjVPHPWb0psA4y,transcribed,13,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1bvbPGctgSYco3Am_Aa_lPVrRlqWv7_ny/view,,1bvbPGctgSYco3Am_Aa_lPVrRlqWv7_ny,Biblioteca de Anúncios-3 (6).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1bvbPGctgSYco3Am_Aa_lPVrRlqWv7_ny,transcribed,15,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1rwfsIcfFC5fsWfibkkMFs342Zo19lMPH/view,,1rwfsIcfFC5fsWfibkkMFs342Zo19lMPH,Biblioteca de Anúncios-3.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1rwfsIcfFC5fsWfibkkMFs342Zo19lMPH,transcribed,13,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1I7b58b-6ZK-QniMxvmNtu8l-Rro4vJlT/view,,1I7b58b-6ZK-QniMxvmNtu8l-Rro4vJlT,Biblioteca de Anúncios-4 (1).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1I7b58b-6ZK-QniMxvmNtu8l-Rro4vJlT,transcribed,16,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1Tkot9sPh7zdoTvXK_y8l4365szXZ6JpK/view,,1Tkot9sPh7zdoTvXK_y8l4365szXZ6JpK,Biblioteca de Anúncios-4 (5).mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1Tkot9sPh7zdoTvXK_y8l4365szXZ6JpK,transcribed,43,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1Wx5aTUeRVoVAetVYjdYtolk3J_XPt7l7/view,,1Wx5aTUeRVoVAetVYjdYtolk3J_XPt7l7,Biblioteca de Anúncios-4.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1Wx5aTUeRVoVAetVYjdYtolk3J_XPt7l7,transcribed,6,2026-07-04T21:04:18Z
